Основне посилання,ID оголошення,Посилання на оголошення,Ціна,Місто,Дата і час публікації,Загальна площа
https://www.olx.ua/uk/nedvizhimost/kvartiry/,803790451,https://www.olx.ua/d/uk/obyavlenie/orenda-1-5-kmnatno-v-novobudov-zhk-residents-park-IDSoCC7.html,"34 093 грн.
Договірна",Ужгород,Сьогодні о 03:54,80
https://www.olx.ua/uk/nedvizhimost/kvartiry/,811095939,https://www.olx.ua/d/uk/obyavlenie/prodam-2h-komnatnuyu-kvartiru-s-uchastkom-irpen-sobstvennik-IDSTh6z.html,2 291 813 грн.,Ірпінь,Сьогодні о 03:48,46
https://www.olx.ua/uk/nedvizhimost/kvartiry/,768787858,https://www.olx.ua/d/uk/obyavlenie/kvartira-38kv-m-prodazha-obmen-na-dom-nedostroy-IDQ1KQa.html,1 136 436 грн.,"Харків, Немишлянський",Сьогодні о 05:18,38
https://www.olx.ua/uk/nedvizhimost/kvartiry/,820411132,https://www.olx.ua/d/uk/obyavlenie/srochnaya-prodazha-2-k-kvartiry-v-novom-zhilom-komplekse-st-alekseevka-IDTvmpC.html,"719 743 грн.
Договірна","Харків, Шевченківський",04 лютого 2024 р.,47
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832568356,https://www.olx.ua/d/uk/obyavlenie/prodazh-2-kmnatno-kvartiri-novobudova-IDUln3S.html,2 003 915 грн.,Рівне,02 лютого 2024 р.,66.39
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827841824,https://www.olx.ua/d/uk/obyavlenie/bez-prodazh-1-kvartiri-na-troeschine-pr-t-chervonoy-kaliny-5-IDU1xtu.html,1 439 448 грн.,"Київ, Деснянський",04 лютого 2024 р.,35
https://www.olx.ua/uk/nedvizhimost/kvartiry/,807121226,https://www.olx.ua/d/uk/obyavlenie/prodam-2-k-kvartiru-u-tsentr-msta-IDSCB6i.html,"795 467 грн.
Договірна","Запоріжжя, Вознесенівський",Сьогодні о 05:19,41.47
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827770677,https://www.olx.ua/d/uk/obyavlenie/zdatsya-v-orendu-1k-k-ra-44m2-varshavskiy-varshavskiy-bud-13-9-IDU1eXX.html,18 000 грн.,"Київ, Подільський",Сьогодні о 05:07,44
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827985451,https://www.olx.ua/d/uk/obyavlenie/prodamo-3-kmnatn-2-rvnevu-kvartiru-88m2-vlasnik-zhk-oksamitoviy-IDU28Q3.html,"4 129 051 грн.
Договірна",Софіївська Борщагівка,Сьогодні о 03:24,88
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831068154,https://www.olx.ua/d/uk/obyavlenie/1-kmnatna-kvartira-IDUf4N4.html,1 090 979 грн.,Шевченка,Сьогодні о 04:56,27.40
https://www.olx.ua/uk/nedvizhimost/kvartiry/,822198065,https://www.olx.ua/d/uk/obyavlenie/prodazh-1-km-kvartiri-41-m2-zdacha-4-kvartal-2024-rk-bryuhovich-IDTDRh7.html,1 396 263 грн.,Брюховичі,Сьогодні о 05:04,41
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827131398,https://www.olx.ua/d/uk/obyavlenie/orenda-1-kmnatno-kvartiri-blya-m-demvska-IDTYyF0.html,14 000 грн.,"Київ, Голосіївський",Сьогодні о 05:12,34.30
https://www.olx.ua/uk/nedvizhimost/kvartiry/,816939137,https://www.olx.ua/d/uk/obyavlenie/prodazh-trikmnatno-kvartiri-IDThNbH.html,2 462 278 грн.,Ужгород,Сьогодні о 04:49,78
https://www.olx.ua/uk/nedvizhimost/kvartiry/,816936473,https://www.olx.ua/d/uk/obyavlenie/prodatsya-chudova-dvorvneva-kvartira-v-novomu-rayon-IDThMuJ.html,4 432 100 грн.,Ужгород,Сьогодні о 04:50,117
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832409164,https://www.olx.ua/d/uk/obyavlenie/2-komn-75-kv-m-s-terrasoy-klubnyy-dom-IDUkHEg.html,2 140 288 грн.,Бориспіль,Сьогодні о 04:40,75
https://www.olx.ua/uk/nedvizhimost/kvartiry/,394140970,https://www.olx.ua/d/uk/obyavlenie/sdayu-svoyu-kvartira-v-tsentre-v-rayone-sobornoy-IDqFM4q.html,28 583 грн.,"Миколаїв, Центральний",Сьогодні о 05:28,60
