Основне посилання,ID оголошення,Посилання на оголошення,Ціна,Місто,Дата і час публікації,Загальна площа,Район
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832928272,https://www.olx.ua/d/uk/obyavlenie/aktualna-orenda-1km-kvartiri-zhk-avalon-pr-chornovola-IDUmSGY.html,20000,Львів,Сьогодні о 02:12,45.0,Шевченківський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,804934372,https://www.olx.ua/d/uk/obyavlenie/kvartira-kristal-IDStqcs.html,2500,Нікополь,Сьогодні о 03:43,30.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832343213,https://www.olx.ua/d/uk/obyavlenie/prodam-3-nu-kvartiru-za-adresoyu-m-kramatorsk-vul-ya-mudrogo-59-IDUkqux.html,643980,Краматорськ,Сьогодні о 03:41,62.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832371200,https://www.olx.ua/d/uk/obyavlenie/3k-ul-bavarskaya-7-novobavarskiy-r-n-IDUkxLV.html,1591010,Харків,04 лютого 2024 р.,94.0,Холодногірський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,805306423,https://www.olx.ua/d/uk/obyavlenie/prodazha1kom-kv-st-m-lukyanovskaya-shevchenkovskiy-r-n-ul-lukyanovskaya9-IDSuYZh.html,2007704,Київ,02 лютого 2024 р.,28.0,Шевченківський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827440638,https://www.olx.ua/d/uk/obyavlenie/gotova-3-h-kmnatna-u-viplatu-pd-0-na-2-roki-85-5-m-tsentr-IDTZR6K.html,2591074,Кам'янка,03 лютого 2024 р.,85.5,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,717523875,https://www.olx.ua/d/uk/obyavlenie/kvartira-3-h-kmnatna-zhitomir-IDMyEJJ.html,1325842,Житомир,Сьогодні о 02:30,73.0,Максютова
https://www.olx.ua/uk/nedvizhimost/kvartiry/,824030971,https://www.olx.ua/d/uk/obyavlenie/prodam-3-komn-s-remontom-niz-pr-polya-IDTLy67.html,2954734,Дніпро,Сьогодні о 02:38,65.0,Центральний
https://www.olx.ua/uk/nedvizhimost/kvartiry/,522260584,https://www.olx.ua/d/uk/obyavlenie/2k-kvartira-78kv-m-novostroy-IDzllPO.html,1098555,Чорноморськ,Сьогодні о 03:34,78.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,829608618,https://www.olx.ua/d/uk/obyavlenie/garna-ta-zatishna-kvartira-prostora-kuhnya-vtalnya-dv-okrem-kmnati-IDU8X6a.html,3977526,Київ,Сьогодні о 03:16,68.0,Голосіївський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,794579124,https://www.olx.ua/d/uk/obyavlenie/prodatsya-3-kmnatna-kvartira-u-m-striy-po-vul-vigovskogo-IDRLYkk.html,1060674,Стрий,Сьогодні о 03:44,54.6,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831254461,https://www.olx.ua/d/uk/obyavlenie/prodam-1-komnatnuyu-kvartiru-v-tsentre-goroda-IDUfRg1.html,795505,Новомосковськ,Сьогодні о 02:44,35.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832001692,https://www.olx.ua/d/uk/obyavlenie/prodazha-1k-kv-vul-akademicheskaya-7-IDUiZE8.html,265131,Краматорськ,Сьогодні о 02:48,34.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,828475170,https://www.olx.ua/d/uk/obyavlenie/zhk-dream-city-orenda-novobudova-goydi-IDU4ceK.html,20835,Ужгород,Сьогодні о 03:55,42.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,761584202,https://www.olx.ua/d/uk/obyavlenie/prodazh-kvartiri-59-m-vd-vlasnika-novobudova-zhk-famlya-IDPxvQa.html,4507863,Львів,Сьогодні о 02:23,59.3,Франківський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832405067,https://www.olx.ua/d/uk/obyavlenie/kvartira-yubileynaya-3-h-komnatnaya-krasnaya-liniya-5-etazh-pod-remont-IDUkGAb.html,1003852,Кривий Ріг,Сьогодні о 02:28,71.0,Покровський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,822335908,https://www.olx.ua/d/uk/obyavlenie/prodazh-3k-kvartiri-v-kiv-zhk-yaskraviy-IDTEr8o.html,4735150,Київ,03 лютого 2024 р.,86.91,Оболонський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832379374,https://www.olx.ua/d/uk/obyavlenie/sdam-1-kom-kv-5-min-m-holodnaya-gora-IDUkzTM.html,3500,Харків,04 лютого 2024 р.,33.0,Холодногірський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,822375637,https://www.olx.ua/d/uk/obyavlenie/kvartira-studya-v-solomyanskomu-rayon-msta-kiva-IDTEBtb.html,536398,Київ,02 лютого 2024 р.,19.0,Солом'янський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,830095992,https://www.olx.ua/d/uk/obyavlenie/prodazh-6-ti-km-kvartiri-183-m2-vul-peremiska-pskov-ozera-IDUaZT2.html,5303368,Львів,Сьогодні о 02:52,183.0,Франківський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,728415223,https://www.olx.ua/d/uk/obyavlenie/prodam-1-komnatnuyu-kvartiru-irpen-sobstvennik-IDNim4D.html,833386,Ірпінь,Сьогодні о 03:52,40.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831351010,https://www.olx.ua/d/uk/obyavlenie/4-h-kmnatna-kvartira-IDUggng.html,3219902,Вараш,Сьогодні о 02:44,78.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,820628671,https://www.olx.ua/d/uk/obyavlenie/bez-prodam-3k-kvartiru-metro-akademgorodok-bez-IDTxh0j.html,3485033,Коцюбинське,Сьогодні о 02:38,76.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,819499404,https://www.olx.ua/d/uk/obyavlenie/prodazh-2-kmnatna-vul-kirilvska-127-frunze-kurenvka-bez-koms-IDTsxek.html,2272872,Київ,Сьогодні о 03:12,45.0,Подільський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,690302770,https://www.olx.ua/d/uk/obyavlenie/prodazh-bez-koms-vidova-kvartira-vishgorod-obolon-IDKIrhE.html,1984975,Вишгород,Сьогодні о 03:48,50.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,637947617,https://www.olx.ua/d/uk/obyavlenie/prodatsya-kvartira-IDHaLjH.html,757624,Київець,Сьогодні о 02:17,67.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,803790451,https://www.olx.ua/d/uk/obyavlenie/orenda-1-5-kmnatno-v-novobudov-zhk-residents-park-IDSoCC7.html,34093,Ужгород,Сьогодні о 03:54,80.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,811095939,https://www.olx.ua/d/uk/obyavlenie/prodam-2h-komnatnuyu-kvartiru-s-uchastkom-irpen-sobstvennik-IDSTh6z.html,2291813,Ірпінь,Сьогодні о 03:48,46.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832146606,https://www.olx.ua/d/uk/obyavlenie/prodazh-kvartiri-v-grand-village-soklniki-IDUjBls.html,2784268,Сокільники,Сьогодні о 02:24,43.4,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,831241785,https://www.olx.ua/d/uk/obyavlenie/prodazh-odnokmnatno-kvartiri-v-orange-city-IDUfNXz.html,2045585,Київ,04 лютого 2024 р.,49.9,Голосіївський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,824061416,https://www.olx.ua/d/uk/obyavlenie/prostora-kvartira-u-odnomu-z-kraschih-zhk-orange-park-budinok-vvedeno-IDTLG1a.html,2939581,Крюківщина,03 лютого 2024 р.,97.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,742111798,https://www.olx.ua/d/uk/obyavlenie/white-lines-ul-vasilkovskaya-1-prodam-2-yu-kvartiru-dom-101-IDOdPb8.html,6250398,Київ,03 лютого 2024 р.,71.0,Печерський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832146627,https://www.olx.ua/d/uk/obyavlenie/prodazh-apartamenti-studya-v-zhk-parus-smart-vul-truskavetska-2g-IDUjBlN.html,2500159,Львів,Сьогодні о 02:28,26.0,Франківський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,827985451,https://www.olx.ua/d/uk/obyavlenie/prodamo-3-kmnatn-2-rvnevu-kvartiru-88m2-vlasnik-zhk-oksamitoviy-IDU28Q3.html,4129051,Софіївська Борщагівка,Сьогодні о 03:24,88.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,821306512,https://www.olx.ua/d/uk/obyavlenie/prodam-1k-kvartiru-zhk-atlant-metro-akademgorodok-IDTA7le.html,2424359,Коцюбинське,Сьогодні о 02:38,58.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,825578256,https://www.olx.ua/d/uk/obyavlenie/3-kmnatna-kvartira-z-vidom-na-park-sihv-prodazh-IDTS2Ck.html,2538040,Львів,Сьогодні о 03:20,72.0,Сихівський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,815684038,https://www.olx.ua/d/uk/obyavlenie/prodazh-zhk-start-layf-dvorvneva-kvartira-msto-vishgorod-IDTcvGa.html,3333546,Вишгород,Сьогодні о 03:20,60.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,820626091,https://www.olx.ua/d/uk/obyavlenie/prodam-2k-kvartiru-zhk-atlant-metro-akademgorodok-IDTxgkH.html,2159191,Коцюбинське,Сьогодні о 02:38,43.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,767869394,https://www.olx.ua/d/uk/obyavlenie/sdam-3k-kvartiru-125m2-na-kirova-IDPXTUe.html,21000,Дніпро,Сьогодні о 02:16,125.0,Центральний
https://www.olx.ua/uk/nedvizhimost/kvartiry/,829259524,https://www.olx.ua/d/uk/obyavlenie/orenda-3-kmnatna-zhk-kosmopolten-vulitsya-degtyarvska-25-a-IDU7uhC.html,25000,Київ,Сьогодні о 03:12,150.0,Шевченківський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,829257090,https://www.olx.ua/d/uk/obyavlenie/prodazh-1-kmnatna-zhk-podl-grad-vulitsya-degtyarna-29-IDU7tEm.html,5682180,Київ,Сьогодні о 03:16,59.0,Подільський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,825795847,https://www.olx.ua/d/uk/obyavlenie/kvartira-zhk-sofya-rezidens-vd-vlasnika-IDTSXdR.html,1931903,Софіївська Борщагівка,Сьогодні о 03:00,37.4,
